smiles,source
C#CC#CC(O)CCO,qm9
C#CC#CC(O)COC,qm9
C#CC#CC1(C#C)CC1,qm9
C#CC#CC1(C#C)CN1,qm9
C#CC#CC1(C#C)CO1,qm9
C#CC#CC1(C#N)CC1,qm9
C#CC#CC1(C#N)CN1,qm9
C#CC#CC1(C#N)CO1,qm9
C#CC#CC1(C)CC1C,qm9
C#CC#CC1(C)CC1O,qm9
C#CC#CC1(C)CCC1,qm9
C#CC#CC1(C)CCO1,qm9
C#CC#CC1(C)CN1C,qm9
C#CC#CC1(C)COC1,qm9
C#CC#CC1(C)NC1C,qm9
C#CC#CC1(C)OC1C,qm9
C#CC#CC1(C=O)CC1,qm9
C#CC#CC1(C=O)CN1,qm9
C#CC#CC1(C=O)CO1,qm9
C#CC#CC1(CC)CC1,qm9
C#CC#CC1(CC)CN1,qm9
C#CC#CC1(CC)CO1,qm9
C#CC#CC1(CO)CC1,qm9
C#CC#CC1(CO)CN1,qm9
C#CC#CC1(CO)CO1,qm9
C#CC#CC1(O)CC1C,qm9
C#CC#CC1(O)CC1O,qm9
C#CC#CC1(O)CCC1,qm9
C#CC#CC1(O)COC1,qm9
C#CC#CC1(OC)CC1,qm9
C#CC#CC12CC(C1)C2,qm9
C#CC#CC12CC(C1)O2,qm9
C#CC#CC12CC1CO2,qm9
C#CC#CC12CCC1C2,qm9
C#CC#CC12CCC1N2,qm9
C#CC#CC12CCC1O2,qm9
C#CC#CC12CCN1C2,qm9
C#CC#CC12CN(C1)C2,qm9
C#CC#CC12COC1C2,qm9
C#CC#CC1=CCCC1,qm9
C#CC#CC1=CCOC1,qm9
C#CC#CC1=NCCO1,qm9
C#CC#CC1C(C)C1C,qm9
C#CC#CC1C(C)C1O,qm9
C#CC#CC1C(C)N1C,qm9
C#CC#CC1C(O)C1O,qm9
C#CC#CC1C2CC1C2,qm9
C#CC#CC1C2CC1O2,qm9
C#CC#CC1C2CCC12,qm9
C#CC#CC1C2CCN12,qm9
C#CC#CC1C2CN1C2,qm9
C#CC#CC1C2COC12,qm9
C#CC#CC1C=CCC1,qm9
C#CC#CC1C=CCO1,qm9
C#CC#CC1CC(=O)C1,qm9
C#CC#CC1CC(=O)N1,qm9
C#CC#CC1CC(=O)O1,qm9
C#CC#CC1CC(C)C1,qm9
C#CC#CC1CC(C)O1,qm9
C#CC#CC1CC(O)C1,qm9
C#CC#CC1CC1(C)C,qm9
C#CC#CC1CC1(C)O,qm9
C#CC#CC1CC1C#C,qm9
C#CC#CC1CC1C#N,qm9
C#CC#CC1CC1C=O,qm9
C#CC#CC1CC1CC,qm9
C#CC#CC1CC1CO,qm9
C#CC#CC1CC1OC,qm9
C#CC#CC1CC2CC12,qm9
C#CC#CC1CC2CN12,qm9
C#CC#CC1CC2NC12,qm9
C#CC#CC1CC2OC12,qm9
C#CC#CC1CC=CC1,qm9
C#CC#CC1CCC1=O,qm9
C#CC#CC1CCC1C,qm9
C#CC#CC1CCC1O,qm9
C#CC#CC1CCCC1,qm9
C#CC#CC1CCCO1,qm9
C#CC#CC1CCN1C,qm9
C#CC#CC1CCOC1,qm9
C#CC#CC1CN(C)C1,qm9
C#CC#CC1CN1C=O,qm9
C#CC#CC1CN1CC,qm9
C#CC#CC1CN=CO1,qm9
C#CC#CC1CNC1=O,qm9
C#CC#CC1COC1=O,qm9
C#CC#CC1COC1C,qm9
C#CC#CC1COC=N1,qm9
C#CC#CC1COCO1,qm9
C#CC#CC1CO[C]1[NH],qm9
C#CC#CC1C[C]([NH])O1,qm9
C#CC#CC1NC1(C)C,qm9
C#CC#CC1NC1C#C,qm9
C#CC#CC1NC1C#N,qm9
C#CC#CC1NC1C=O,qm9
C#CC#CC1NC1CC,qm9
C#CC#CC1NC1CO,qm9
C#CC#CC1NCC1=O,qm9
C#CC#CC1NCC1O,qm9
C#CC#CC1OC1(C)C,qm9
C#CC#CC1OC1C#C,qm9
C#CC#CC1OC1C#N,qm9
C#CC#CC1OC1C=O,qm9
C#CC#CC1OC1CC,qm9
C#CC#CC1OC1CO,qm9
C#CC#CC1OC2CC12,qm9
C#CC#CC1OCC1=O,qm9
C#CC#CC1OCC1C,qm9
C#CC#CC1OCC1O,qm9
C#CC#CC1OCCO1,qm9
C#CC#CCC#CC#C,qm9
C#CC#CCC#CC#N,qm9
C#CC#CCC#CC=O,qm9
C#CC#CCC#CCC,qm9
C#CC#CCC#CCO,qm9
C#CC#CCC(=O)C#C,qm9
C#CC#CCC(=O)C#N,qm9
C#CC#CCC(=O)C=O,qm9
C#CC#CCC(=O)CC,qm9
C#CC#CCC(=O)CO,qm9
C#CC#CCC(=O)NC,qm9
C#CC#CCC(=O)OC,qm9
C#CC#CCC(C)(C)C,qm9
C#CC#CCC(C)(C)O,qm9
C#CC#CCC(C)=NO,qm9
C#CC#CCC(C)C#C,qm9
C#CC#CCC(C)C#N,qm9
C#CC#CCC(C)C=O,qm9
C#CC#CCC(C)CC,qm9
C#CC#CCC(C)CO,qm9
C#CC#CCC(C)OC,qm9
C#CC#CCC(F)(F)F,qm9
C#CC#CCC(N)C#N,qm9
C#CC#CCC(O)C#C,qm9
C#CC#CCC(O)C#N,qm9
C#CC#CCC(O)C=O,qm9
C#CC#CCC(O)CC,qm9
C#CC#CCC(O)CO,qm9
C#CC#CCC1(C)CC1,qm9
C#CC#CCC1(C)CN1,qm9
C#CC#CCC1(C)CO1,qm9
C#CC#CCC1(O)CC1,qm9
C#CC#CCC1CC1C,qm9
C#CC#CCC1CC1O,qm9
C#CC#CCC1CCC1,qm9
C#CC#CCC1CCO1,qm9
C#CC#CCC1CN1C,qm9
C#CC#CCC1COC1,qm9
C#CC#CCC1NC1C,qm9
C#CC#CCC1OC1C,qm9
C#CC#CCCC#CC,qm9
C#CC#CCCC(C)=O,qm9
C#CC#CCCC(C)C,qm9
C#CC#CCCC(C)O,qm9
C#CC#CCCC(N)=O,qm9
C#CC#CCCC1CC1,qm9
C#CC#CCCC1CO1,qm9
C#CC#CCCCC#C,qm9
C#CC#CCCCC#N,qm9
C#CC#CCCCC=O,qm9
C#CC#CCCCCC,qm9
C#CC#CCCCCO,qm9
C#CC#CCCCOC,qm9
C#CC#CCCN1CC1,qm9
C#CC#CCCNC=O,qm9
C#CC#CCCOC=O,qm9
C#CC#CCCOCC,qm9
C#CC#CCCO[CH][NH],qm9
C#CC#CCN(C)C=O,qm9
C#CC#CCN1CC1C,qm9
C#CC#CCN1CCC1,qm9
C#CC#CCN=COC,qm9
C#CC#CCNC(C)=O,qm9
C#CC#CCNC(N)=O,qm9
C#CC#CCNCC#N,qm9
C#CC#CCNCC=O,qm9
C#CC#CCOC(C)=O,qm9
C#CC#CCOC(C)C,qm9
C#CC#CCOC(N)=O,qm9
C#CC#CCOC1CC1,qm9
C#CC#CCOC=NC,qm9
C#CC#CCOCC#C,qm9
C#CC#CCOCC#N,qm9
C#CC#CCOCC=O,qm9
C#CC#CCOCCC,qm9
C#CC#CCOCCO,qm9
C#CC#CCO[C](C)[NH],qm9
C#CC#C[C]([NH])OC=O,qm9
C#CC#C[C]([NH])OCC,qm9
C#CC#C[C]1[N]CCN1,qm9
C#CC#Cc1c[nH]cn1,qm9
C#CC#Cc1c[nH]nn1,qm9
C#CC#Cc1cc[nH]c1,qm9
C#CC#Cc1cc[nH]n1,qm9
C#CC#Cc1ccc[nH]1,qm9
C#CC#Cc1ccco1,qm9
C#CC#Cc1ccn[nH]1,qm9
C#CC#Cc1ccno1,qm9
C#CC#Cc1ccoc1,qm9
C#CC#Cc1ccon1,qm9
C#CC#Cc1cn[nH]c1,qm9
C#CC#Cc1cn[nH]n1,qm9
C#CC#Cc1cnc[nH]1,qm9
C#CC#Cc1cnco1,qm9
C#CC#Cc1cnno1,qm9
C#CC#Cc1cnoc1,qm9
C#CC#Cc1cnon1,qm9
C#CC#Cc1cocn1,qm9
C#CC#Cc1conn1,qm9
C#CC#Cc1nc[nH]n1,qm9
C#CC#Cc1ncc[nH]1,qm9
C#CC#Cc1ncco1,qm9
C#CC#Cc1ncno1,qm9
C#CC#Cc1ncon1,qm9
C#CC#Cc1nn[nH]n1,qm9
C#CC#Cc1nnon1,qm9
C#CC(=C=[N-])N[C+](N)N,qm9
C#CC(=N)N(C)C(C)=O,qm9
C#CC(=N)N(C)C(N)=O,qm9
C#CC(=N)N(C=N)C=N,qm9
C#CC(=N)N(C=N)C=O,qm9
C#CC(=N)N(C=O)C=O,qm9
C#CC(=N)N(C=O)CC,qm9
C#CC(=N)NC(=N)C#C,qm9
C#CC(=N)NC(=N)C#N,qm9
C#CC(=N)NC(=N)C=O,qm9
C#CC(=N)NC(=N)CO,qm9
C#CC(=N)NC(=N)OC,qm9
C#CC(=N)NC(=O)C#C,qm9
C#CC(=N)NC(=O)C=O,qm9
C#CC(=N)NC(=O)CC,qm9
C#CC(=N)NC(=O)CO,qm9
C#CC(=N)NC(=O)NC,qm9
C#CC(=N)NC(=O)OC,qm9
C#CC(=NC)N(C)C=O,qm9
C#CC(=NC)NC(C)=O,qm9
C#CC(=NC)NC(N)=O,qm9
C#CC(=NC)OC(C)=O,qm9
C#CC(=NC)OC(C)C,qm9
C#CC(=NC)OC(N)=O,qm9
C#CC(=NC)OC1CC1,qm9
C#CC(=NC)OCC#N,qm9
C#CC(=NC)OCC=O,qm9
C#CC(=NCC)NC=O,qm9
C#CC(=NCC)OCC,qm9
C#CC(=NCCC)OC,qm9
C#CC(=NCCO)OC,qm9
C#CC(=NO)C(=O)NC,qm9
C#CC(=NO)C(C)(C)C,qm9
C#CC(=NO)C(C)(C)O,qm9
C#CC(=NO)C(C)=NO,qm9
C#CC(=NO)C(C)C#C,qm9
C#CC(=NO)C(C)C#N,qm9
C#CC(=NO)C(C)C=O,qm9
C#CC(=NO)C(C)CC,qm9
C#CC(=NO)C(C)CO,qm9
C#CC(=NO)C(C)OC,qm9
C#CC(=NO)C(N)=NC,qm9
C#CC(=NO)C(O)CC,qm9
C#CC(=NO)C1(C)CC1,qm9
C#CC(=NO)C1(C)CN1,qm9
C#CC(=NO)C1CC1C,qm9
C#CC(=NO)C1CC1O,qm9
C#CC(=NO)C1CCC1,qm9
C#CC(=NO)C1CCO1,qm9
C#CC(=NO)C1CN1C,qm9
C#CC(=NO)C1COC1,qm9
C#CC(=NO)C1NC1C,qm9
C#CC(=O)C#CC#CC,qm9
C#CC(=O)C#CC(C)=O,qm9
C#CC(=O)C#CC(C)C,qm9
C#CC(=O)C#CC(C)O,qm9
C#CC(=O)C#CC(N)=O,qm9
C#CC(=O)C#CC1CC1,qm9
C#CC(=O)C#CC1CN1,qm9
C#CC(=O)C#CC1CO1,qm9
C#CC(=O)C#CCC#N,qm9
C#CC(=O)C#CCC=O,qm9
C#CC(=O)C#CCCC,qm9
C#CC(=O)C#CCCO,qm9
C#CC(=O)C#CCOC,qm9
C#CC(=O)C(=N)N(C)C,qm9
C#CC(=O)C(=N)NC=N,qm9
C#CC(=O)C(=N)NC=O,qm9
C#CC(=O)C(=N)NCC,qm9
C#CC(=O)C(=NC)NC,qm9
C#CC(=O)C(=O)C#CC,qm9
C#CC(=O)C(=O)C(=N)N,qm9
C#CC(=O)C(=O)C(C)=O,qm9
C#CC(=O)C(=O)C(C)C,qm9
C#CC(=O)C(=O)C(C)O,qm9
C#CC(=O)C(=O)C(N)=O,qm9
C#CC(=O)C(=O)C1CC1,qm9
C#CC(=O)C(=O)C1CN1,qm9
C#CC(=O)C(=O)C1CO1,qm9
C#CC(=O)C(=O)CC#N,qm9
C#CC(=O)C(=O)CCC,qm9
C#CC(=O)C(=O)CCO,qm9
C#CC(=O)C(=O)COC,qm9
C#CC(=O)C(=O)N(C)C,qm9
C#CC(=O)C(=O)N1CC1,qm9
C#CC(=O)C(=O)NC=N,qm9
C#CC(=O)C(=O)NC=O,qm9
C#CC(=O)C(=O)NCC,qm9
C#CC(=O)C(=O)OCC,qm9
C#CC(=O)C(=O)O[CH][NH],qm9
C#CC(=O)C(C#C)C#C,qm9
C#CC(=O)C(C#C)C#N,qm9
C#CC(=O)C(C#C)C=O,qm9
C#CC(=O)C(C#C)CC,qm9
C#CC(=O)C(C#C)CO,qm9
C#CC(=O)C(C#C)NC,qm9
C#CC(=O)C(C#C)OC,qm9
C#CC(=O)C(C#N)C#N,qm9
C#CC(=O)C(C#N)CC,qm9
C#CC(=O)C(C#N)CO,qm9
C#CC(=O)C(C#N)NC,qm9
C#CC(=O)C(C#N)OC,qm9
C#CC(=O)C(C)(C)C#C,qm9
C#CC(=O)C(C)(C)C#N,qm9
C#CC(=O)C(C)(C)C=O,qm9
C#CC(=O)C(C)(C)CC,qm9
C#CC(=O)C(C)(C)CO,qm9
C#CC(=O)C(C)(C)OC,qm9
C#CC(=O)C(C)(O)C#C,qm9
C#CC(=O)C(C)(O)C#N,qm9
C#CC(=O)C(C)(O)C=O,qm9
C#CC(=O)C(C)(O)CC,qm9
C#CC(=O)C(C)(O)CO,qm9
C#CC(=O)C(C)C#CC,qm9
C#CC(=O)C(C)C(C)=O,qm9
C#CC(=O)C(C)C(C)C,qm9
C#CC(=O)C(C)C(C)O,qm9
C#CC(=O)C(C)C(N)=O,qm9
C#CC(=O)C(C)C1CC1,qm9
C#CC(=O)C(C)C1CN1,qm9
C#CC(=O)C(C)C1CO1,qm9
C#CC(=O)C(C)CC#N,qm9
C#CC(=O)C(C)CC=O,qm9
C#CC(=O)C(C)CCC,qm9
C#CC(=O)C(C)CCO,qm9
C#CC(=O)C(C)COC,qm9
C#CC(=O)C(C)N(C)C,qm9
C#CC(=O)C(C)N1CC1,qm9
C#CC(=O)C(C)NC=O,qm9
C#CC(=O)C(C)OC=O,qm9
C#CC(=O)C(C)OCC,qm9
C#CC(=O)C(C)O[CH][NH],qm9
C#CC(=O)C(C=O)CC,qm9
C#CC(=O)C(C=O)CO,qm9
C#CC(=O)C(C=O)NC,qm9
C#CC(=O)C(C=O)OC,qm9
C#CC(=O)C(CC)CC,qm9
C#CC(=O)C(CC)CO,qm9
C#CC(=O)C(CC)OC,qm9
C#CC(=O)C(CO)CO,qm9
C#CC(=O)C(CO)NC,qm9
C#CC(=O)C(CO)OC,qm9
C#CC(=O)C(N)=NCC,qm9
C#CC(=O)C(O)C#CC,qm9
C#CC(=O)C(O)C(C)=O,qm9
C#CC(=O)C(O)C(C)C,qm9
C#CC(=O)C(O)C(C)O,qm9
C#CC(=O)C(O)C(N)=O,qm9
C#CC(=O)C(O)C1CC1,qm9
C#CC(=O)C(O)C1CN1,qm9
C#CC(=O)C(O)C1CO1,qm9
C#CC(=O)C(O)CC#N,qm9
C#CC(=O)C(O)CC=O,qm9
C#CC(=O)C(O)CCC,qm9
C#CC(=O)C(O)CCO,qm9
C#CC(=O)C(O)COC,qm9
C#CC(=O)C1(C#C)CC1,qm9
C#CC(=O)C1(C#C)CN1,qm9
C#CC(=O)C1(C#C)CO1,qm9
C#CC(=O)C1(C#N)CC1,qm9
C#CC(=O)C1(C#N)CN1,qm9
C#CC(=O)C1(C#N)CO1,qm9
C#CC(=O)C1(C)CC1C,qm9
C#CC(=O)C1(C)CC1O,qm9
C#CC(=O)C1(C)CCC1,qm9
C#CC(=O)C1(C)CCO1,qm9
C#CC(=O)C1(C)CN1C,qm9
C#CC(=O)C1(C)COC1,qm9
C#CC(=O)C1(C)NC1C,qm9
C#CC(=O)C1(C)OC1C,qm9
C#CC(=O)C1(C=O)CC1,qm9
C#CC(=O)C1(C=O)CN1,qm9
C#CC(=O)C1(C=O)CO1,qm9
C#CC(=O)C1(CC)CC1,qm9
C#CC(=O)C1(CC)CN1,qm9
C#CC(=O)C1(CC)CO1,qm9
C#CC(=O)C1(CO)CC1,qm9
C#CC(=O)C1(CO)CN1,qm9
C#CC(=O)C1(CO)CO1,qm9
C#CC(=O)C1(O)CC1C,qm9
C#CC(=O)C1(O)CC1O,qm9
C#CC(=O)C1(O)CCC1,qm9
C#CC(=O)C1(O)COC1,qm9
C#CC(=O)C1(OC)CC1,qm9
C#CC(=O)C12CC(C1)C2,qm9
C#CC(=O)C12CC(C1)N2,qm9
C#CC(=O)C12CC(C1)O2,qm9
C#CC(=O)C12CC1CO2,qm9
C#CC(=O)C12CCC1C2,qm9
C#CC(=O)C12CCC1N2,qm9
C#CC(=O)C12CCC1O2,qm9
C#CC(=O)C12CCN1C2,qm9
C#CC(=O)C12CN(C1)C2,qm9
C#CC(=O)C12COC1C2,qm9
C#CC(=O)C1=CCCC1,qm9
C#CC(=O)C1=CCOC1,qm9
C#CC(=O)C1=CNCC1,qm9
C#CC(=O)C1=NCCO1,qm9
C#CC(=O)C1C(C)C1C,qm9
C#CC(=O)C1C(C)C1O,qm9
C#CC(=O)C1C(C)N1C,qm9
C#CC(=O)C1C(O)C1O,qm9
C#CC(=O)C1C2CC1C2,qm9
C#CC(=O)C1C2CC1O2,qm9
C#CC(=O)C1C2CCC21,qm9
C#CC(=O)C1C2CCN21,qm9
C#CC(=O)C1C2CN1C2,qm9
C#CC(=O)C1C2COC21,qm9
C#CC(=O)C1C=CCC1,qm9
C#CC(=O)C1C=CCO1,qm9
C#CC(=O)C1CC(=O)C1,qm9
C#CC(=O)C1CC(=O)N1,qm9
C#CC(=O)C1CC(=O)O1,qm9
C#CC(=O)C1CC(C)C1,qm9
C#CC(=O)C1CC(C)O1,qm9
C#CC(=O)C1CC(O)C1,qm9
C#CC(=O)C1CC1(C)C,qm9
C#CC(=O)C1CC1(C)O,qm9
C#CC(=O)C1CC1C#C,qm9
C#CC(=O)C1CC1C#N,qm9
C#CC(=O)C1CC1C=O,qm9
C#CC(=O)C1CC1CC,qm9
C#CC(=O)C1CC1CO,qm9
C#CC(=O)C1CC1OC,qm9
C#CC(=O)C1CC2CC21,qm9
C#CC(=O)C1CC2CN21,qm9
C#CC(=O)C1CC2NC21,qm9
C#CC(=O)C1CC2OC21,qm9
C#CC(=O)C1CC=CC1,qm9
C#CC(=O)C1CCC1C,qm9
C#CC(=O)C1CCC1O,qm9
C#CC(=O)C1CCCC1,qm9
C#CC(=O)C1CCCO1,qm9
C#CC(=O)C1CCN1C,qm9
C#CC(=O)C1CCOC1,qm9
C#CC(=O)C1CN(C)C1,qm9
C#CC(=O)C1CN1C=O,qm9
C#CC(=O)C1CN1CC,qm9
C#CC(=O)C1CN2CC12,qm9
C#CC(=O)C1CN=CO1,qm9
C#CC(=O)C1CNC1=O,qm9
C#CC(=O)C1COC1=O,qm9
C#CC(=O)C1COC1C,qm9
C#CC(=O)C1COC=N1,qm9
C#CC(=O)C1COCO1,qm9
C#CC(=O)C1CO[C]1[NH],qm9
C#CC(=O)C1C[C]([NH])O1,qm9
C#CC(=O)C1NC1(C)C,qm9
C#CC(=O)C1NC1C#C,qm9
C#CC(=O)C1NC1C#N,qm9
C#CC(=O)C1NC1C=O,qm9
C#CC(=O)C1NC1CC,qm9
C#CC(=O)C1NC1CO,qm9
C#CC(=O)C1NCC1O,qm9
C#CC(=O)C1OC1(C)C,qm9
C#CC(=O)C1OC1C#C,qm9
C#CC(=O)C1OC1C#N,qm9
C#CC(=O)C1OC1C=O,qm9
C#CC(=O)C1OC1CC,qm9
C#CC(=O)C1OC1CO,qm9
C#CC(=O)C1OC2CC21,qm9
C#CC(=O)C1OCC1C,qm9
C#CC(=O)C1OCC1O,qm9
C#CC(=O)C1OCCO1,qm9
C#CC(=O)CC#CC#N,qm9
C#CC(=O)CC#CC=O,qm9
C#CC(=O)CC#CCC,qm9
C#CC(=O)CC#CCO,qm9
C#CC(=O)CC(=O)CC,qm9
C#CC(=O)CC(=O)CO,qm9
C#CC(=O)CC(=O)NC,qm9
C#CC(=O)CC(=O)OC,qm9
C#CC(=O)CC(C)(C)C,qm9
C#CC(=O)CC(C)(C)O,qm9
C#CC(=O)CC(C)=NO,qm9
C#CC(=O)CC(C)C#C,qm9
C#CC(=O)CC(C)C#N,qm9
C#CC(=O)CC(C)C=O,qm9
C#CC(=O)CC(C)CC,qm9
C#CC(=O)CC(C)CO,qm9
C#CC(=O)CC(C)OC,qm9
C#CC(=O)CC(F)(F)F,qm9
C#CC(=O)CC(O)C#C,qm9
C#CC(=O)CC(O)C#N,qm9
C#CC(=O)CC(O)C=O,qm9
C#CC(=O)CC(O)CC,qm9
C#CC(=O)CC(O)CO,qm9
C#CC(=O)CC1(C)CC1,qm9
C#CC(=O)CC1(C)CN1,qm9
C#CC(=O)CC1(C)CO1,qm9
C#CC(=O)CC1(O)CC1,qm9
C#CC(=O)CC1CC1C,qm9
C#CC(=O)CC1CC1O,qm9
C#CC(=O)CC1CCC1,qm9
C#CC(=O)CC1CCO1,qm9
C#CC(=O)CC1CN1C,qm9
C#CC(=O)CC1COC1,qm9
C#CC(=O)CC1NC1C,qm9
C#CC(=O)CC1OC1C,qm9
C#CC(=O)CCC#CC,qm9
C#CC(=O)CCC(C)=O,qm9
C#CC(=O)CCC(C)C,qm9
C#CC(=O)CCC(C)O,qm9
C#CC(=O)CCC(N)=O,qm9
C#CC(=O)CCC1CC1,qm9
C#CC(=O)CCC1CO1,qm9
C#CC(=O)CCCC#N,qm9
C#CC(=O)CCCC=O,qm9
C#CC(=O)CCCCC,qm9
C#CC(=O)CCCCO,qm9
C#CC(=O)CCCOC,qm9
C#CC(=O)CCN1CC1,qm9
C#CC(=O)CCNC=O,qm9
C#CC(=O)CCOC=O,qm9
C#CC(=O)CCOCC,qm9
C#CC(=O)CCO[CH][NH],qm9
C#CC(=O)CN(C)C=O,qm9
C#CC(=O)CN(C)CC,qm9
C#CC(=O)CN1CC1C,qm9
C#CC(=O)CN1CCC1,qm9
C#CC(=O)CN=COC,qm9
C#CC(=O)CNC(C)=O,qm9
C#CC(=O)CNC(N)=O,qm9
C#CC(=O)CNCC#N,qm9
C#CC(=O)CNCC=O,qm9
C#CC(=O)CNCCO,qm9
C#CC(=O)COC(C)=O,qm9
C#CC(=O)COC(C)C,qm9
C#CC(=O)COC(N)=O,qm9
C#CC(=O)COC1CC1,qm9
C#CC(=O)COC=NC,qm9
C#CC(=O)COCC#N,qm9
C#CC(=O)COCC=O,qm9
C#CC(=O)COCCC,qm9
C#CC(=O)COCCO,qm9
C#CC(=O)CO[C](C)[NH],qm9
C#CC(=O)N(C)C(=N)N,qm9
C#CC(=O)N(C)C(C)=N,qm9
C#CC(=O)N(C)C(C)=O,qm9
C#CC(=O)N(C)C(C)C,qm9
C#CC(=O)N(C)C(N)=O,qm9
C#CC(=O)N(C)C1CC1,qm9
C#CC(=O)N(C)C=NC,qm9
C#CC(=O)N(C)CC#N,qm9
C#CC(=O)N(C)CC=O,qm9
C#CC(=O)N(C)CCC,qm9
C#CC(=O)N(C)CCO,qm9
C#CC(=O)N(C=N)C=N,qm9
C#CC(=O)N(C=N)C=O,qm9
C#CC(=O)N(C=N)CC,qm9
C#CC(=O)N(C=O)C=O,qm9
C#CC(=O)N(C=O)CC,qm9
C#CC(=O)N(CC)CC,qm9
C#CC(=O)N1C(C)C1C,qm9
C#CC(=O)N1C2CC1C2,qm9
C#CC(=O)N1C2CCC21,qm9
C#CC(=O)N1C=CCC1,qm9
C#CC(=O)N1C=NCC1,qm9
C#CC(=O)N1CC(=O)C1,qm9
C#CC(=O)N1CC(C)C1,qm9
C#CC(=O)N1CC(O)C1,qm9
C#CC(=O)N1CC1(C)C,qm9
C#CC(=O)N1CC1C#C,qm9
C#CC(=O)N1CC1C#N,qm9
C#CC(=O)N1CC1C=O,qm9
C#CC(=O)N1CC1CC,qm9
C#CC(=O)N1CC1CO,qm9
C#CC(=O)N1CC2CC21,qm9
C#CC(=O)N1CC=CC1,qm9
C#CC(=O)N1CCC1=O,qm9
